channel,param,true,post_mean,hdi_low,hdi_high,inside_hdi
tv,alpha,0.7,0.6867910311805606,0.6488757925749992,0.721363559949868,True
tv,K,30000.0,46111.97065074437,18884.664871387275,93561.4453759288,True
tv,S,1.8,1.4514576133212966,0.9143672005156791,2.040991201470446,True
tv,beta,80000.0,107044.67315040916,52844.503322846926,181582.27362043786,True
search,alpha,0.1,0.3558381696413173,0.036784337037727745,0.7774969333707584,True
search,K,15000.0,14409.063496399627,1047.2145569609818,38628.41738691905,True
search,S,0.9,1.0165011776596409,0.23061474955915706,2.013487083458215,True
search,beta,60000.0,55711.42702083425,186.3813648488573,134177.73699432088,True
social,alpha,0.4,0.4394241386326541,0.05743487009498311,0.8293233934713075,True
social,K,15000.0,22884.35877542416,2163.3133611697854,56204.58537254491,True
social,S,1.2,0.9705879952419482,0.25609523864310224,1.8148910156183162,True
social,beta,45000.0,61015.772733436825,99.05886767856231,128840.31821672567,True
display,alpha,0.3,0.5780495159729258,0.23246864591034755,0.9233174209790865,True
display,K,10000.0,12166.740172634545,686.8767885162179,31520.216341373904,True
display,S,1.0,1.0241975569876063,0.26355717495282377,2.1180914782531493,True
display,beta,20000.0,35114.889052380255,138.65937338738067,75913.82201404634,True
