date,spend_tv,spend_search,spend_social,spend_display,sales
2024-01-01,53348.06,19430.99,5616.5,6071.77,286188.32
2024-01-08,51018.3,18727.48,4841.25,4980.44,298165.2
2024-01-15,42302.25,18289.33,6433.31,9820.29,303361.1
2024-01-22,55039.05,18319.72,5195.71,10626.43,306916.64
2024-01-29,51939.8,16941.33,5928.7,8042.67,313468.54
2024-02-05,0.0,15466.42,5519.45,7361.92,301682.44
2024-02-12,0.0,17658.27,7445.58,9040.74,292236.49
2024-02-19,0.0,16458.76,5682.62,12375.04,292680.49
2024-02-26,0.0,17506.05,5551.04,12160.18,276950.56
2024-03-04,0.0,19908.38,6827.73,4891.28,257161.98
2024-03-11,0.0,16563.27,8657.55,6133.49,259966.6
2024-03-18,0.0,15614.83,8624.5,6630.7,252027.76
2024-03-25,38265.26,16819.47,8443.3,6744.49,264610.59
2024-04-01,37337.82,16885.41,9138.27,9641.09,280981.68
2024-04-08,43816.51,18874.35,9405.11,8246.36,294454.16
2024-04-15,40519.87,18307.97,8412.5,4943.29,289650.89
2024-04-22,42604.56,19533.05,7941.61,7862.53,301369.95
2024-04-29,0.0,18887.29,9753.18,9213.78,275750.78
2024-05-06,0.0,17494.49,9602.65,5415.05,267740.9
2024-05-13,0.0,19695.71,8775.62,0.0,269706.32
2024-05-20,0.0,16201.65,7930.5,4967.66,247319.08
2024-05-27,0.0,15422.65,10645.81,12823.58,255658.77
2024-06-03,0.0,15786.26,8970.77,5392.02,243082.49
2024-06-10,0.0,19200.74,11906.92,12092.17,251915.65
2024-06-17,42501.94,17794.14,9285.89,12623.88,262512.52
2024-06-24,36345.18,16170.87,8985.65,13316.14,273213.77
2024-07-01,45927.34,18005.64,12237.0,11718.23,285147.11
2024-07-08,43468.91,16122.49,9499.54,11515.3,296817.9
2024-07-15,0.0,19060.13,9808.82,10282.35,279179.23
2024-07-22,0.0,17709.24,11931.92,11510.97,279820.1
2024-07-29,0.0,17357.51,13451.83,5710.97,275121.0
2024-08-05,0.0,16928.17,10474.65,9324.61,266712.2
2024-08-12,0.0,18703.53,11224.14,9128.01,262349.0
2024-08-19,52079.98,17253.79,13741.41,12218.15,293215.91
2024-08-26,51017.9,15773.31,14968.77,8665.19,304204.53
2024-09-02,49447.05,15937.23,12819.33,7965.81,320004.75
2024-09-09,41455.16,20494.25,11181.57,10256.07,311040.94
2024-09-16,45180.17,20206.34,10683.64,0.0,319161.06
2024-09-23,0.0,19078.42,12027.15,5757.92,301284.95
2024-09-30,0.0,16735.7,11689.84,0.0,288957.52
2024-10-07,0.0,20533.55,14922.1,8252.0,308213.13
2024-10-14,0.0,19505.25,12014.1,6593.13,298347.69
2024-10-21,0.0,19171.21,14415.05,7807.61,287653.16
2024-10-28,0.0,17726.55,15736.59,7797.53,283055.47
2024-11-04,41804.88,16770.1,15306.27,7447.46,291309.43
2024-11-11,42538.57,15820.51,13241.37,7915.18,319105.9
2024-11-18,45186.72,20174.05,17129.66,0.0,347838.59
2024-11-25,0.0,17761.19,16830.25,0.0,321202.72
2024-12-02,0.0,16392.76,17221.03,0.0,303998.28
2024-12-09,0.0,16952.17,13589.11,12747.13,310955.58
2024-12-16,0.0,18427.79,13732.23,8828.19,294703.72
2024-12-23,0.0,16254.57,19191.17,7455.25,300070.01
2024-12-30,0.0,19925.72,15931.09,9318.91,302277.95
2025-01-06,45692.62,19396.01,15494.54,0.0,312633.51
2025-01-13,41817.9,19185.1,16980.36,10373.29,334340.56
2025-01-20,40994.07,17633.3,18407.37,11739.53,339753.51
2025-01-27,0.0,18687.47,20695.1,9294.5,329360.15
2025-02-03,0.0,18454.13,16213.79,10196.26,308187.86
2025-02-10,0.0,18809.17,21001.83,7093.4,309467.8
2025-02-17,0.0,15756.0,14720.53,0.0,298299.04
2025-02-24,0.0,17545.36,18804.27,6321.64,283162.85
2025-03-03,0.0,15524.72,19619.28,10753.18,281617.85
2025-03-10,0.0,17967.55,15873.97,12246.47,293411.85
2025-03-17,43937.12,17081.25,16324.76,5688.93,295141.61
2025-03-24,41019.03,16080.43,18667.11,10029.42,318138.89
2025-03-31,45979.79,15858.38,23153.89,5355.86,315611.43
2025-04-07,44319.04,18473.28,20496.13,11031.44,333978.3
2025-04-14,0.0,16221.2,23418.62,5260.44,309216.71
2025-04-21,0.0,20295.65,22641.81,12923.46,302117.88
2025-04-28,0.0,18437.73,20141.5,5736.67,296104.71
2025-05-05,0.0,17173.1,22981.06,13129.92,279597.57
2025-05-12,0.0,18490.94,16832.29,11707.96,269703.59
2025-05-19,65450.61,15423.14,17782.34,9843.14,297182.24
2025-05-26,57943.49,20476.22,24107.83,0.0,315302.49
2025-06-02,56159.75,17904.44,24079.78,11656.03,313562.68
2025-06-09,0.0,19526.77,19421.81,0.0,308738.39
2025-06-16,0.0,15746.74,22241.29,6780.45,290735.63
2025-06-23,0.0,17927.95,23135.35,9810.68,295567.96
2025-06-30,0.0,17949.82,25714.99,5355.44,268197.62
2025-07-07,0.0,20364.26,23574.55,0.0,271641.46
2025-07-14,35664.16,18387.33,22064.49,6041.62,281925.02
2025-07-21,33400.25,17856.84,21925.47,9584.56,298890.93
2025-07-28,42566.17,16741.67,22619.58,9651.87,316755.9
2025-08-04,41130.85,17090.47,24964.2,8693.87,323500.56
2025-08-11,41604.86,18111.63,27249.51,9203.69,331218.0
2025-08-18,0.0,17670.12,23538.35,11375.31,321425.03
2025-08-25,0.0,15416.71,21762.58,11693.2,312523.97
2025-09-01,0.0,19761.98,21854.15,8929.38,301001.12
2025-09-08,0.0,20139.27,27076.23,9896.34,309523.64
2025-09-15,0.0,16057.35,28023.49,12881.13,307456.88
2025-09-22,0.0,18291.8,21134.54,5577.6,303787.52
2025-09-29,49773.17,15886.31,20930.43,5553.93,324103.35
2025-10-06,43497.62,18930.1,26508.56,5289.38,340367.97
2025-10-13,43127.95,16818.66,22120.17,10420.77,361420.27
2025-10-20,51231.25,18860.88,29365.54,8267.47,360820.57
2025-10-27,48344.6,19225.77,24224.87,11468.89,365527.63
2025-11-03,0.0,19450.7,22670.93,10541.08,351522.16
2025-11-10,0.0,15881.8,31149.46,7502.74,337601.99
2025-11-17,0.0,20246.46,23286.82,12585.3,330380.36
2025-11-24,0.0,16543.16,24772.58,11362.79,322816.13
2025-12-01,0.0,15502.03,23543.39,6934.81,320665.84
2025-12-08,0.0,18296.2,23315.58,7777.73,322595.99
2025-12-15,0.0,17302.98,22456.33,7329.96,318801.8
2025-12-22,0.0,19780.86,23020.43,5918.5,314316.96
